path_id,index,x,y,z
0,0,472.6143,505.2517,239.3519
0,1,482.0059,497.7818,239.3519
0,2,480.9339,485.8298,239.3519
0,3,486.6737,475.2915,239.3519
0,4,494.1363,465.8942,239.3519
0,5,490.3898,454.494,239.3519
0,6,491.2723,442.5265,239.3489
0,7,480.3632,439.4428,235.4139
0,8,469.5384,440.0999,230.2767
0,9,458.6378,440.1005,225.2591
0,10,447.736,440.0996,220.244
0,11,442.6266,440.7864,209.4079
0,12,431.1673,440.1007,212.9026
0,13,420.3768,439.8492,207.6583
0,14,409.4948,440.5706,202.6523
0,15,398.596,440.2847,197.6387
0,16,387.8197,438.4691,192.6814
0,17,376.477,437.5626,188.8709
0,18,366.672,441.1461,182.953
0,19,356.3752,445.0882,178.2163
0,20,345.6301,447.1151,173.2733
0,21,334.737,446.6367,168.2623
0,22,323.9173,448.1075,163.285
0,23,313.079,446.8148,158.2992
0,24,319.3688,437.0134,161.1926
0,25,330.2684,436.7723,166.2066
0,26,341.5263,435.1406,170.027
0,27,351.6136,432.6382,176.0258
0,28,362.4213,431.0651,180.9976
0,29,373.352,430.686,185.9348
0,30,384.1893,431.5704,191.0112
0,31,394.9197,433.6901,195.9475
0,32,405.8203,433.5134,200.962
0,33,416.6944,434.3678,205.9643
0,34,427.4118,436.566,210.8945
0,35,438.3054,436.1025,215.9058
0,36,449.2072,436.1034,220.9208
0,37,460.108,436.2712,225.9354
0,38,470.9982,436.8247,230.9451
0,39,481.8678,435.904,235.9454
0,40,491.413,442.3317,239.3475
0,41,484.7954,452.3421,239.3519
0,42,473.2478,455.6061,239.3519
0,43,462.6527,461.2402,239.3519
0,44,457.5587,472.1053,239.3519
0,45,457.7498,484.1038,239.3519
0,46,460.823,495.7036,239.3519
0,47,469.1148,504.378,239.3519
1,0,787.9419,681.2097,384.1482
1,1,780.2158,690.3916,384.1482
1,2,780.1108,702.3911,384.1482
1,3,790.3018,708.7269,384.1482
1,4,802.2119,707.2608,384.1482
1,5,806.2371,695.956,384.1482
1,6,806.0213,683.958,384.1511
1,7,801.6515,673.1566,387.021
1,8,800.2768,661.2393,386.7244
1,9,792.5769,652.1735,385.1362
1,10,787.1067,641.4953,384.9093
1,11,786.675,629.503,384.9088
1,12,791.3025,618.4311,384.9088
1,13,801.3249,611.8318,384.9088
1,14,813.3106,611.2457,384.9088
1,15,824.589,615.3443,384.9088
1,16,835.1717,620.9519,385.6577
1,17,847.038,619.9108,387.1094
1,18,855.0006,616.3387,395.3457
1,19,866.6992,613.9172,396.476
1,20,877.9407,609.7184,396.4987
1,21,889.2479,605.7002,396.4987
1,22,899.8885,611.248,396.4987
1,23,899.9446,623.2478,396.4987
1,24,904.6623,634.2816,396.4987
1,25,914.2641,641.4792,396.4987
1,26,907.5246,651.4077,396.5532
1,27,897.1417,657.4159,396.8672
1,28,886.7859,662.6261,399.9671
1,29,881.8164,671.7726,405.9375
1,30,887.226,682.1942,408.4124
1,31,891.94,693.2292,408.5047
1,32,885.3756,703.2745,408.503
1,33,876.1307,709.9571,412.228
1,34,876.1757,714.6352,423.2785
1,35,875.9793,719.3126,434.3276
1,36,876.2524,723.9895,445.3753
1,37,879.2452,735.5241,446.7883
1,38,874.7687,746.6542,446.5023
1,39,868.8447,757.09,446.4987
1,40,858.5805,763.3064,446.5388
1,41,846.7002,762.2872,447.8879
1,42,837.4402,757.2546,453.6261
1,43,827.7301,752.1586,458.4988
1,44,821.8609,741.6918,458.5047
1,45,811.8154,735.1277,458.5047
1,46,800.1349,737.8782,458.5047
1,47,790.4977,745.0285,458.4968
