path_id,index,x,y,z
0,0,366.2476,-102.2425,414.5745
0,1,375.6391,-102.2425,407.1046
0,2,374.5671,-102.2425,395.1526
0,3,380.3069,-102.2425,384.6144
0,4,387.7695,-102.2425,375.2170
0,5,384.0230,-102.2425,363.8168
0,6,384.9055,-102.2395,351.8493
0,7,373.9965,-98.3045,348.7656
0,8,363.1716,-93.1673,349.4228
0,9,352.2710,-88.1497,349.4233
0,10,341.3692,-83.1347,349.4224
0,11,336.2598,-72.2985,350.1093
0,12,324.8005,-75.7932,349.4235
0,13,314.0101,-70.5489,349.1720
0,14,303.1280,-65.5429,349.8934
0,15,292.2293,-60.5293,349.6075
0,16,281.4530,-55.5720,347.7920
0,17,270.1102,-51.7615,346.8854
0,18,260.3052,-45.8436,350.4690
0,19,250.0085,-41.1069,354.4110
0,20,239.2633,-36.1639,356.4380
0,21,228.3702,-31.1529,355.9595
0,22,217.5506,-26.1756,357.4303
0,23,206.7122,-21.1898,356.1376
0,24,213.0020,-24.0832,346.3362
0,25,223.9016,-29.0972,346.0952
0,26,235.1596,-32.9176,344.4635
0,27,245.2468,-38.9164,341.9611
0,28,256.0545,-43.8882,340.3880
0,29,266.9852,-48.8254,340.0088
0,30,277.8226,-53.9018,340.8933
0,31,288.5529,-58.8381,343.0129
0,32,299.4535,-63.8526,342.8363
0,33,310.3277,-68.8549,343.6906
0,34,321.0450,-73.7851,345.8888
0,35,331.9387,-78.7964,345.4254
0,36,342.8405,-83.8115,345.4262
0,37,353.7412,-88.8260,345.5941
0,38,364.6314,-93.8357,346.1475
0,39,375.5011,-98.8360,345.2268
0,40,385.0462,-102.2381,351.6546
0,41,378.4286,-102.2425,361.6649
0,42,366.8811,-102.2425,364.9289
0,43,356.2859,-102.2425,370.5630
0,44,351.1919,-102.2425,381.4281
0,45,351.3831,-102.2425,393.4266
0,46,354.4562,-102.2425,405.0264
0,47,362.7480,-102.2425,413.7008
1,0,681.5751,-247.0388,590.5325
1,1,673.8490,-247.0388,599.7144
1,2,673.7440,-247.0388,611.7140
1,3,683.9351,-247.0388,618.0498
1,4,695.8452,-247.0388,616.5837
1,5,699.8703,-247.0388,605.2789
1,6,699.6545,-247.0417,593.2808
1,7,695.2847,-249.9116,582.4795
1,8,693.9101,-249.6150,570.5622
1,9,686.2101,-248.0268,561.4964
1,10,680.7399,-247.7999,550.8181
1,11,680.3083,-247.7994,538.8259
1,12,684.9357,-247.7994,527.7540
1,13,694.9582,-247.7994,521.1547
1,14,706.9438,-247.7994,520.5685
1,15,718.2222,-247.7995,524.6671
1,16,728.8049,-248.5483,530.2747
1,17,740.6712,-250.0000,529.2336
1,18,748.6338,-258.2363,525.6615
1,19,760.3325,-259.3666,523.2400
1,20,771.5739,-259.3893,519.0412
1,21,782.8811,-259.3893,515.0230
1,22,793.5217,-259.3893,520.5708
1,23,793.5778,-259.3893,532.5707
1,24,798.2955,-259.3893,543.6044
1,25,807.8973,-259.3893,550.8020
1,26,801.1578,-259.4438,560.7305
1,27,790.7750,-259.7578,566.7387
1,28,780.4191,-262.8577,571.9489
1,29,775.4496,-268.8281,581.0955
1,30,780.8593,-271.3030,591.5171
1,31,785.5732,-271.3953,602.5520
1,32,779.0088,-271.3936,612.5973
1,33,769.7640,-275.1186,619.2800
1,34,769.8089,-286.1691,623.9580
1,35,769.6125,-297.2182,628.6355
1,36,769.8857,-308.2659,633.3123
1,37,772.8785,-309.6789,644.8469
1,38,768.4019,-309.3929,655.9770
1,39,762.4779,-309.3893,666.4128
1,40,752.2137,-309.4295,672.6292
1,41,740.3334,-310.7786,671.6100
1,42,731.0734,-316.5167,666.5774
1,43,721.3633,-321.3895,661.4814
1,44,715.4941,-321.3953,651.0146
1,45,705.4486,-321.3953,644.4505
1,46,693.7681,-321.3953,647.2011
1,47,684.1309,-321.3874,654.3513
1,48,673.8236,-315.5812,656.3630
1,49,668.2318,-304.9651,656.1942
1,50,661.3686,-300.2648,647.5453
1,51,649.3729,-300.0000,647.3633
1,52,640.1909,-300.0000,655.0893
1,53,639.6970,-300.0000,667.0791
1,54,634.7472,-299.9703,678.0107
1,55,628.9701,-295.7839,668.3619
1,56,617.7509,-292.6487,665.4807
1,57,608.1322,-292.6487,672.6558
1,58,616.4689,-292.6487,681.2871
1,59,624.0835,-292.7478,672.0131
1,60,628.9363,-298.5975,681.2992
1,61,640.6526,-299.9987,679.1165
1,62,652.5292,-300.0000,680.8331
1,63,663.5680,-300.0000,676.1271
1,64,667.2150,-301.2492,664.7632
1,65,672.1505,-312.0119,662.8120
1,66,679.6555,-321.2003,664.6143
1,67,690.2172,-321.3953,670.3075
1,68,699.1656,-321.3953,678.3028
1,69,710.6651,-321.3953,674.8731
1,70,718.8464,-321.3953,666.0943
1,71,726.5314,-320.4627,656.9253
1,72,735.7088,-312.7472,656.4287
1,73,744.5605,-309.5205,648.9966
1,74,756.5522,-309.3905,648.5698
1,75,765.6749,-309.8449,640.7871
1,76,766.4947,-301.9033,631.8284
1,77,766.8544,-291.3379,626.1502
1,78,767.5050,-280.3050,621.4755
1,79,761.1215,-271.4187,616.5476
1,80,753.0452,-271.3953,607.6723
1,81,756.4042,-271.3953,596.1520
1,82,758.9579,-270.5444,584.4578
1,83,760.7499,-264.4437,574.2808
